team_name,match_id,player.name,starting_position,most_time_position
Panama,7554,Blas Antonio Miguel Pérez Ortega,Center Forward,Center Forward
Panama,7554,Edgar Yoel Bárcenas Herrera,Right Wing,Right Wing
Panama,7554,Erick Javier Davis Grajales,Left Back,Left Back
Panama,7554,Felipe Abdiel Baloy Ramírez,Center Defensive Midfield,Left Center Back
Panama,7554,Fidel Escobar Mendieta,Left Center Back,Left Center Back
Panama,7554,Gabriel Enrique Gómez Girón,Center Defensive Midfield,Center Defensive Midfield
Panama,7554,Jaime Manuel Penedo Cano,Goalkeeper,Goalkeeper
Panama,7554,José Luis Rodriguez,Left Wing,Left Wing
Panama,7554,Michael Amir Murillo Bermudez,Right Back,Right Back
Panama,7554,Ricardo Guardia Avila,Left Center Midfield,Right Center Midfield
Panama,7554,Román Aureliano Torres Morcillo,Right Center Back,Right Center Back
Panama,7569,Abdiel Arroyo Molinar,Left Center Midfield,Left Center Midfield
Panama,7569,Adolfo Abdiel Machado,Right Back,Right Back
Panama,7569,Aníbal Cesis Godoy,Right Center Midfield,Right Center Midfield
Panama,7569,Edgar Yoel Bárcenas Herrera,Left Wing,Left Wing
Panama,7569,Fidel Escobar Mendieta,Left Center Back,Left Center Back
Panama,7569,Gabriel Arturo Torres Tejada,Center Forward,Center Forward
Panama,7569,Gabriel Enrique Gómez Girón,Center Defensive Midfield,Right Center Midfield
Panama,7569,Harold Oshkaly Cummings Segura,Center Forward,Right Center Back
Panama,7569,Jaime Manuel Penedo Cano,Goalkeeper,Goalkeeper
Panama,7569,José Luis Rodriguez,Right Wing,Right Wing
Panama,7569,Luis Carlos Ovalle Victoria,Left Back,Left Back
Panama,7569,Luis Carlos Tejada Hansell,Right Center Back,Secondary Striker
Panama,7569,Ricardo Guardia Avila,Left Center Midfield,Left Center Midfield
Panama,7569,Román Aureliano Torres Morcillo,Right Center Back,Right Center Back
Peru,7532,Alberto Junior Rodríguez Valdelomar,Left Center Back,Left Center Back
Peru,7532,André Martín Carrillo Díaz,Right Wing,Right Wing
Peru,7532,Christian Alberto Cueva Bravo,Center Attacking Midfield,Center Attacking Midfield
Peru,7532,Christian Guillermo Martín Ramos Garagay,Right Center Back,Right Center Back
Peru,7532,Jefferson Agustín Farfán Guadalupe,Center Forward,Center Forward
Peru,7532,José Paolo Guerrero González,Left Wing,Left Wing
Peru,7532,Luis Jan Piers Advíncula Castrillón,Right Back,Right Back
Peru,7532,Miguel Ángel Trauco Saavedra,Left Back,Left Back
Peru,7532,Pedro David Gallese Quiróz,Goalkeeper,Goalkeeper
Peru,7532,Pedro Jesús Aquino Sánchez,Right Center Midfield,Right Center Midfield
Peru,7532,Raúl Mario Ruidíaz Misitich,Center Forward,Center Forward
Peru,7532,Renato Fabrizio Tapia Cortijo,Right Center Midfield,Right Center Midfield
Peru,7532,Víctor Yoshimar Yotún Flores,Left Center Midfield,Left Center Midfield
Peru,7532,Édison Michael Flores Peralta,Left Wing,Left Wing
Peru,7546,Alberto Junior Rodríguez Valdelomar,Left Center Back,Left Center Back
Peru,7546,Anderson Santamaría Bardales,Left Center Back,Left Center Back
Peru,7546,André Martín Carrillo Díaz,Right Midfield,Right Wing
Peru,7546,Christian Alberto Cueva Bravo,Center Attacking Midfield,Center Attacking Midfield
Peru,7546,Christian Guillermo Martín Ramos Garagay,Right Center Back,Right Center Back
Peru,7546,Jefferson Agustín Farfán Guadalupe,Left Defensive Midfield,Center Attacking Midfield
Peru,7546,José Paolo Guerrero González,Center Forward,Center Forward
Peru,7546,Luis Jan Piers Advíncula Castrillón,Right Back,Right Back
Peru,7546,Miguel Ángel Trauco Saavedra,Left Back,Left Back
Peru,7546,Pedro David Gallese Quiróz,Goalkeeper,Goalkeeper
Peru,7546,Pedro Jesús Aquino Sánchez,Right Defensive Midfield,Right Defensive Midfield
Peru,7546,Raúl Mario Ruidíaz Misitich,Left Wing,Left Wing
Peru,7546,Víctor Yoshimar Yotún Flores,Left Defensive Midfield,Left Defensive Midfield
Peru,7546,Édison Michael Flores Peralta,Left Midfield,Left Defensive Midfield
Peru,7562,Anderson Santamaría Bardales,Left Center Back,Left Center Back
Peru,7562,André Martín Carrillo Díaz,Right Midfield,Right Midfield
Peru,7562,Christian Alberto Cueva Bravo,Center Attacking Midfield,Center Attacking Midfield
Peru,7562,Christian Guillermo Martín Ramos Garagay,Right Center Back,Right Center Back
Peru,7562,Christopher Paolo César Hurtado Huertas,Right Defensive Midfield,Right Defensive Midfield
Peru,7562,José Paolo Guerrero González,Center Forward,Center Forward
Peru,7562,Luis Jan Piers Advíncula Castrillón,Right Back,Right Back
Peru,7562,Miguel Ángel Trauco Saavedra,Left Back,Left Back
Peru,7562,Pedro David Gallese Quiróz,Goalkeeper,Goalkeeper
Peru,7562,Pedro Jesús Aquino Sánchez,Left Defensive Midfield,Left Defensive Midfield
Peru,7562,Renato Fabrizio Tapia Cortijo,Right Defensive Midfield,Right Defensive Midfield
Peru,7562,Víctor Yoshimar Yotún Flores,Left Defensive Midfield,Left Defensive Midfield
Peru,7562,Wilder José Cartagena Mendoza,Right Midfield,Right Midfield
Peru,7562,Édison Michael Flores Peralta,Left Midfield,Left Midfield
Poland,7539,Arkadiusz Milik,Center Attacking Midfield,Center Attacking Midfield
Poland,7539,Bartosz Bereszyński,Right Wing Back,Right Wing Back
Poland,7539,Dawid Kownacki,Center Midfield,Right Wing
Poland,7539,Grzegorz Krychowiak,Right Center Midfield,Right Defensive Midfield
Poland,7539,Jakub Błaszczykowski,Right Wing,Right Wing
Poland,7539,Jan Bednarek,Right Wing,Center Back
Poland,7539,Kamil Grosicki,Left Wing,Left Wing
Poland,7539,Maciej Rybus,Left Back,Left Wing Back
Poland,7539,Michał Pazdan,Left Center Back,Left Center Back
Poland,7539,Piotr Zieliński,Left Center Midfield,Left Defensive Midfield
Poland,7539,Robert Lewandowski,Center Forward,Center Forward
Poland,7539,Thiago Rangel Cionek,Right Center Back,Right Center Back
Poland,7539,Wojciech Szczęsny,Goalkeeper,Goalkeeper
Poland,7539,Łukasz Piszczek,Right Back,Right Back
Poland,7555,Bartosz Bereszyński,Right Midfield,Right Midfield
Poland,7555,Dawid Kownacki,Left Wing,Left Wing
Poland,7555,Grzegorz Krychowiak,Right Center Midfield,Right Center Midfield
Poland,7555,Jacek Góralski,Left Center Midfield,Left Center Midfield
Poland,7555,Jan Bednarek,Center Back,Center Back
Poland,7555,Kamil Glik,Left Center Back,Left Center Back
Poland,7555,Kamil Grosicki,Left Wing,Left Wing
Poland,7555,Maciej Rybus,Left Midfield,Left Midfield
Poland,7555,Michał Pazdan,Left Center Back,Left Center Back
Poland,7555,Piotr Zieliński,Right Wing,Right Wing
Poland,7555,Robert Lewandowski,Center Forward,Center Forward
Poland,7555,Wojciech Szczęsny,Goalkeeper,Goalkeeper
Poland,7555,Łukasz Piszczek,Right Center Back,Right Center Back
Poland,7555,Łukasz Teodorczyk,Right Midfield,Right Midfield
Poland,7572,Artur Jędrzejczyk,Left Back,Left Back
Poland,7572,Bartosz Bereszyński,Right Back,Right Back
Poland,7572,Grzegorz Krychowiak,Right Defensive Midfield,Right Defensive Midfield
Poland,7572,Jacek Góralski,Left Defensive Midfield,Left Defensive Midfield
Poland,7572,Jan Bednarek,Left Center Back,Left Center Back
Poland,7572,Kamil Glik,Right Center Back,Right Center Back
Poland,7572,Kamil Grosicki,Right Wing,Right Wing
Poland,7572,Piotr Zieliński,Center Attacking Midfield,Center Attacking Midfield
Poland,7572,Rafał Kurzawa,Left Wing,Left Wing
Poland,7572,Robert Lewandowski,Center Forward,Center Forward
Poland,7572,Sławomir Peszko,Left Wing,Left Wing
Poland,7572,Łukasz Fabiański,Goalkeeper,Goalkeeper
Poland,7572,Łukasz Teodorczyk,Center Attacking Midfield,Center Attacking Midfield
Portugal,7542,Adrien Sebastian Perruchet Silva,Right Center Midfield,Right Center Midfield
Portugal,7542,Bernardo Mota Veiga de Carvalho e Silva,Right Midfield,Right Midfield
Portugal,7542,Bruno Miguel Borges Fernandes,Left Midfield,Left Midfield
Portugal,7542,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Left Center Forward
Portugal,7542,Cédric Ricardo Alves Soares,Right Back,Right Back
Portugal,7542,Gelson Dany Batalha Martins,Right Midfield,Right Midfield
Portugal,7542,Gonçalo Manuel Ganchinho Guedes,Right Center Forward,Right Center Forward
Portugal,7542,José Miguel da Rocha Fonte,Left Center Back,Left Center Back
Portugal,7542,João Filipe Iria Santos Moutinho,Right Center Midfield,Right Center Midfield
Portugal,7542,João Mário Naval da Costa Eduardo,Left Midfield,Left Midfield
Portugal,7542,Kleper Laveran Lima Ferreira,Right Center Back,Right Center Back
Portugal,7542,Raphaël Adelino José Guerreiro,Left Back,Left Back
Portugal,7542,Rui Pedro dos Santos Patrício,Goalkeeper,Goalkeeper
Portugal,7542,William Silva de Carvalho,Left Center Midfield,Left Center Midfield
Portugal,7557,Adrien Sebastian Perruchet Silva,Right Defensive Midfield,Right Defensive Midfield
Portugal,7557,André Miguel Valente Silva,Right Center Forward,Right Center Forward
Portugal,7557,Bernardo Mota Veiga de Carvalho e Silva,Right Midfield,Right Midfield
Portugal,7557,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Left Center Forward
Portugal,7557,Gonçalo Manuel Ganchinho Guedes,Right Center Forward,Right Center Forward
Portugal,7557,José Miguel da Rocha Fonte,Left Center Back,Left Center Back
Portugal,7557,João Filipe Iria Santos Moutinho,Left Midfield,Left Midfield
Portugal,7557,João Mário Naval da Costa Eduardo,Left Midfield,Left Midfield
Portugal,7557,Kleper Laveran Lima Ferreira,Right Center Back,Right Center Back
Portugal,7557,Raphaël Adelino José Guerreiro,Left Back,Left Back
Portugal,7557,Ricardo Andrade Quaresma Bernardo,Right Midfield,Right Midfield
Portugal,7557,Rui Pedro dos Santos Patrício,Goalkeeper,Goalkeeper
Portugal,7557,Rúben Santos Gato Alves Dias,Right Back,Right Back
Portugal,7557,William Silva de Carvalho,Left Defensive Midfield,Left Defensive Midfield
Portugal,7576,André Miguel Valente Silva,Right Center Forward,Right Center Forward
Portugal,7576,Bernardo Mota Veiga de Carvalho e Silva,Right Wing,Right Wing
Portugal,7576,Bruno Miguel Borges Fernandes,Left Midfield,Left Midfield
Portugal,7576,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Left Center Forward
Portugal,7576,Gonçalo Manuel Ganchinho Guedes,Right Center Forward,Right Center Forward
Portugal,7576,José Miguel da Rocha Fonte,Left Center Back,Left Center Back
Portugal,7576,João Filipe Iria Santos Moutinho,Right Center Midfield,Right Center Midfield
Portugal,7576,João Mário Naval da Costa Eduardo,Left Midfield,Left Midfield
Portugal,7576,Kleper Laveran Lima Ferreira,Right Center Back,Right Center Back
Portugal,7576,Raphaël Adelino José Guerreiro,Left Back,Left Back
Portugal,7576,Ricardo Andrade Quaresma Bernardo,Right Wing,Right Wing
Portugal,7576,Rui Pedro dos Santos Patrício,Goalkeeper,Goalkeeper
Portugal,7576,Rúben Santos Gato Alves Dias,Right Back,Right Back
Portugal,7576,William Silva de Carvalho,Left Center Midfield,Left Center Midfield
Portugal,7579,Adrien Sebastian Perruchet Silva,Right Center Midfield,Right Center Midfield
Portugal,7579,André Miguel Valente Silva,Left Midfield,Center Forward
Portugal,7579,Bernardo Mota Veiga de Carvalho e Silva,Right Midfield,Right Midfield
Portugal,7579,Cristiano Ronaldo dos Santos Aveiro,Left Center Forward,Left Center Forward
Portugal,7579,Gonçalo Manuel Ganchinho Guedes,Right Center Forward,Right Center Forward
Portugal,7579,José Miguel da Rocha Fonte,Left Center Back,Left Center Back
Portugal,7579,João Mário Naval da Costa Eduardo,Left Midfield,Left Midfield
Portugal,7579,Kleper Laveran Lima Ferreira,Right Center Back,Right Center Back
Portugal,7579,Manuel Henrique Tavares Fernandes,Right Center Midfield,Right Center Midfield
Portugal,7579,Raphaël Adelino José Guerreiro,Left Back,Left Back
Portugal,7579,Ricardo Andrade Quaresma Bernardo,Right Center Midfield,Right Wing
Portugal,7579,Ricardo Domingos Barbosa Pereira,Right Back,Right Back
Portugal,7579,Rui Pedro dos Santos Patrício,Goalkeeper,Goalkeeper
Portugal,7579,William Silva de Carvalho,Left Center Midfield,Left Center Midfield
Russia,7525,Alan Dzagoev,Center Attacking Midfield,Center Attacking Midfield
Russia,7525,Aleksandr Golovin,Left Midfield,Center Attacking Midfield
Russia,7525,Aleksandr Samedov,Right Midfield,Right Midfield
Russia,7525,Artem Dzyuba,Center Forward,Center Forward
Russia,7525,Daler Kuzyaev,Right Midfield,Right Midfield
Russia,7525,Denis Cheryshev,Center Attacking Midfield,Left Midfield
Russia,7525,Fyodor Smolov,Center Forward,Center Forward
Russia,7525,Igor Akinfeev,Goalkeeper,Goalkeeper
Russia,7525,Ilya Kutepov,Right Center Back,Right Center Back
Russia,7525,Mário Figueira Fernandes,Right Back,Right Back
Russia,7525,Roman Zobnin,Right Center Midfield,Left Center Midfield
Russia,7525,Sergei Ignashevich,Left Center Back,Left Center Back
Russia,7525,Yuri Zhirkov,Left Back,Left Back
Russia,7525,Yury Gazinskiy,Left Center Midfield,Right Center Midfield
Russia,7540,Aleksandr Golovin,Center Attacking Midfield,Center Attacking Midfield
Russia,7540,Aleksandr Samedov,Right Wing,Right Wing
Russia,7540,Artem Dzyuba,Center Forward,Center Forward
Russia,7540,Daler Kuzyaev,Left Wing,Left Wing
Russia,7540,Denis Cheryshev,Left Wing,Left Wing
Russia,7540,Fedor Kudryashov,Left Back,Left Back
Russia,7540,Fyodor Smolov,Center Forward,Center Forward
Russia,7540,Igor Akinfeev,Goalkeeper,Goalkeeper
